"Area1","Area2","1961-1964","1965-1968","1969-1972","1973-1976","1977-1980","1981-1984","1985-1988","1989-1992","1993-1996","1997-2000","2001-2004","2005-2008","2009-2012"
"Afghanistan","Albania",0.613953301511162,0.611398917661575,0.608533196926987,0.605600022825821,0.604136062670113,0.593155076206292,0.572019435532731,0.5529679603629,0.543631396056395,0.542675667130658,0.552816122796375,0.559773999784644,0.56288219765206
"Afghanistan","Algeria",0.62337505608879,0.626972232285696,0.626642913826835,0.628137602768491,0.627973148728006,0.622584080168116,0.595890832738436,0.576031883576942,0.567545169575424,0.560592317601984,0.575538134016307,0.586820931455636,0.592515529769768
"Afghanistan","Angola",0.611731484773934,0.60921892691681,0.607904449666796,0.605319356236475,0.604761818262074,0.593287889211251,0.569333526097332,0.553989610643177,0.540222270597831,0.536662269693114,0.54906504019954,0.558039839753498,0.560018652991308
"Afghanistan","AntiguaandBarbuda",0.529975534268519,0.531819663044093,0.53445581480159,0.522191068862253,0.520672967369814,0.513483767590489,0.491689376938383,0.481456630324796,0.469795624532477,0.459832440457615,0.465950910966576,0.483547309681657,0.48338670245572
"Afghanistan","Argentina",0.658247551572916,0.656875906584704,0.653098213540197,0.649092575527398,0.652411517382043,0.634968553412867,0.614572811037332,0.592303591108507,0.5837932990262,0.580690199026645,0.583144246691648,0.58862947460358,0.586096803947929
"Afghanistan","Armenia",0,0,0,0,0,0,0,0,0.517567709353215,0.522963908962836,0.532821195990549,0.542470026802976,0.546521213834665
"Afghanistan","Australia",0.647141749272872,0.649634524434489,0.650165974272578,0.648913975500103,0.650259565579786,0.644911872878565,0.625629861234024,0.604626449557929,0.595205425115551,0.591908189482668,0.600032525096506,0.608682707582682,0.611642824807597
"Afghanistan","Austria",0.645488809346684,0.642755928659354,0.637833403451845,0.633838291916473,0.637054749211957,0.627634822838326,0.607280109773852,0.589696030706771,0.580342124493406,0.575385005031271,0.58626823122918,0.600342189359204,0.598093638174829
"Afghanistan","Azerbaijan",0,0,0,0,0,0,0,0,0.55118535840618,0.545890935402697,0.559504411826412,0.568397932241583,0.570402619717672
"Afghanistan","Bahamas",0.548111161156841,0.55144622087072,0.559398203487183,0.550423353905335,0.549664272711623,0.544645080674135,0.530395052340406,0.512030261324387,0.500462892285402,0.502407154611524,0.510716851285445,0.51668730346182,0.516989685770034
"Afghanistan","Bangladesh",0.631211715561545,0.626082351174896,0.618868634123001,0.613589510442327,0.615626818194651,0.61329698999124,0.591031798759748,0.5712229770617,0.564571100177728,0.561592446313774,0.564402524869478,0.572778643832677,0.581174500833057
"Afghanistan","Barbados",0.558633195766176,0.565351656806903,0.563674960856198,0.555273131469289,0.557250376476759,0.550132055126217,0.537365934997405,0.523380626240097,0.512461551111559,0.505123373848622,0.511571099106258,0.513985830199395,0.514868257663104
"Afghanistan","Belarus",0,0,0,0,0,0,0,0,0.544580894342385,0.550292235727941,0.563987622546839,0.575483604493402,0.576053668411215
"Afghanistan","Belgium",0,0,0,0,0,0,0,0,0,0,0.585765482361242,0.59606139895022,0.594809060544314
"Afghanistan","Belgium-Luxembourg",0.647179512985597,0.64567666222974,0.64072103939843,0.636169072065727,0.643290399647697,0.633698760086807,0.614317610191596,0.593363658981929,0.584785931729597,0,0,0,0
"Afghanistan","Belize",0.54155932886552,0.540041773397829,0.540029996140412,0.535099590249421,0.533809157835075,0.525752720792293,0.510406615340987,0.49882108868102,0.494867470150346,0.491569759184961,0.499590431305324,0.501728965381319,0.503572743895543
"Afghanistan","Benin",0.580095637845051,0.575805828928289,0.578630233698193,0.571522973097899,0.576637537481828,0.577385722421057,0.559224293490769,0.541763447520036,0.536574875154504,0.535041374248496,0.54324387088463,0.551319974356432,0.548252900538445
"Afghanistan","Bermuda",0.536579716111297,0.533777486346188,0.532103393481496,0.527826442330642,0.526430032612119,0.519009169099658,0.498463356073442,0.484892972914113,0.474908943589109,0.466582005436809,0.467746384681247,0.471014636111766,0.470586658894223
"Afghanistan","Bolivia(PlurinationalStateof)",0.615258236484415,0.612795048906132,0.616793077755318,0.613237149636342,0.612852092480244,0.59466023249341,0.575652605303839,0.56644554274615,0.557311196745298,0.554910343138938,0.564000016562632,0.567547341101473,0.568522027946242
"Afghanistan","BosniaandHerzegovina",0,0,0,0,0,0,0,0,0.533309601648633,0.532753447810345,0.546659636665212,0.56000864097842,0.560319570997586
"Afghanistan","Botswana",0.568814557890599,0.569873691900098,0.566888662910118,0.567929757466008,0.57348477199382,0.565707117233926,0.545945218874406,0.541770837696193,0.535198188916674,0.530168893389196,0.536422313325897,0.535846497418039,0.543730591487522
"Afghanistan","Brazil",0.65918791588987,0.65683505211089,0.652036950011608,0.647439266765053,0.651413790142955,0.635880885177009,0.616761924586762,0.598880739889114,0.589870482179125,0.587309675897212,0.594349817004461,0.599191557279157,0.600231201762593
"Afghanistan","BruneiDarussalam",0.53844572474138,0.542193149476666,0.549701300250531,0.544658274083085,0.550040086885927,0.548439470143767,0.534987414795314,0.516457602457557,0.508016623854743,0.505534394741574,0.513507145003823,0.514075594759899,0.517441982315456
"Afghanistan","Bulgaria",0.653925920270542,0.658286846217043,0.6490173659996,0.645476625314312,0.647533447155196,0.634462148585376,0.61174312116283,0.587739575567284,0.571882449554059,0.564336329583565,0.574621776155726,0.580436315976608,0.580525548489157
"Afghanistan","BurkinaFaso",0.604022476714367,0.599603374577057,0.599823700718201,0.59352338846316,0.598506413745758,0.597079263803993,0.577030715557568,0.558087170387394,0.549835532933057,0.546849003971329,0.546448954269333,0.552017074124524,0.557691447868119
"Afghanistan","C������ted'Ivoire",0.611048167532772,0.610100074630484,0.613288362710565,0.609136104309178,0.617774339124748,0.606271119800354,0.584229555385264,0.564384935657615,0.553451705495367,0.553483034546755,0.561953150153909,0.568094154284407,0.566134423029734
"Afghanistan","CaboVerde",0.53837454516925,0.53681957985327,0.538231835348828,0.529412104003213,0.535091280382858,0.531570246301961,0.516028097065278,0.504522409084652,0.498822891364819,0.49619717388892,0.504926931949293,0.513812237995563,0.513523529931396
"Afghanistan","Cambodia",0.580259992463859,0.577722652598955,0.573509135621656,0.561328240275698,0.547627599654229,0.545492183890686,0.521054703497189,0.509506040648021,0.508644799988787,0.508672133836114,0.515944990608615,0.531454360683253,0.530423793301887
"Afghanistan","Cameroon",0.611332506078993,0.609538021901706,0.613026763525434,0.611148072680347,0.615460341501364,0.605539622008524,0.58568358258332,0.565078832397374,0.555615712886044,0.551291081135588,0.55994025053931,0.566538377842106,0.571533253954954
"Afghanistan","Canada",0.653186205300416,0.652849120011703,0.650975784297162,0.643933002939374,0.650193053994196,0.637202348545327,0.617723283235164,0.599424874463931,0.590211954225196,0.58899415142937,0.60450198217845,0.612722773000503,0.614928627581116
"Afghanistan","CentralAfricanRepublic",0.589928014943119,0.585087025377313,0.582438915856221,0.581117819350361,0.580876083799507,0.579661580227335,0.55560348116599,0.545181696291553,0.530454687960522,0.525554649806102,0.522249353156911,0.522729376516192,0.524600233584299
"Afghanistan","Chad",0.603748426587814,0.596863189934902,0.596380450378708,0.589332833953427,0.583036841558304,0.576634249873616,0.555261977801111,0.539030168200073,0.534264438221185,0.527830621028091,0.520760069351156,0.521094450057675,0.520032015088001
"Afghanistan","Chile",0.642676718468905,0.639950046927341,0.636751738841798,0.628335154692428,0.630861183974888,0.619860090731493,0.600157788157587,0.582170909506364,0.5756495399049,0.570986698779259,0.580574618353404,0.589179497855554,0.588017569396974
"Afghanistan","China",0.677700355873952,0.678503790015395,0.676063203773955,0.672747875190704,0.675933595138092,0.665593457205967,0.643965064810656,0.624242533473551,0.613674409908954,0.61228579255387,0.622222884377308,0.63277710236257,0.633295679303006
"Afghanistan","China,HongKongSAR",0.606378527313636,0.610221380269823,0.615255926924083,0.608776320289187,0.612522261054015,0.596582342950755,0.578228770637187,0.56110994939759,0.55274517848368,0.547169572441616,0.555120724515306,0.561471273444892,0.563865924727605
"Afghanistan","China,MacaoSAR",0.539374418654493,0.537700012465382,0.535276290838388,0.536039162886257,0.541365379559094,0.550216574866813,0.531390107014256,0.519366957057886,0.509154823630937,0.496232816924006,0.504421311399124,0.515736633031875,0.512812353411611
"Afghanistan","China,mainland",0.672076655453238,0.671972282525415,0.666957212806987,0.666139876535895,0.668441250067215,0.661865904884495,0.640963294016339,0.622155995057039,0.611859682710914,0.610858660310907,0.620021897990572,0.629246463222842,0.630750228307782
"Afghanistan","China,TaiwanProvinceof",0.615304809886192,0.619319511524103,0.622351571723331,0.62370144019794,0.62853217122816,0.622901390246867,0.605512586157924,0.588692606045623,0.581667799080996,0.579651422781038,0.589761882877953,0.594414537095224,0.596664109764256
"Afghanistan","Colombia",0.627985927577681,0.62682717650349,0.627249220466738,0.621784588384513,0.62627422837578,0.617774364256151,0.59283103178596,0.577982948218744,0.570881523593363,0.570338333494911,0.579682725630305,0.588525710044558,0.588788362376539
"Afghanistan","Congo",0.557545364653364,0.551682335147438,0.551090918094993,0.546508996060155,0.551179584214252,0.547626094934791,0.528790686474652,0.515503259366602,0.505949105391462,0.503888544963464,0.513820837109134,0.5161978277535,0.522529048228274
"Afghanistan","CostaRica",0.584207494992659,0.584548990843503,0.58302868462245,0.576739918629828,0.581855742057183,0.573053659248754,0.56220975704521,0.546032697967361,0.537053060831952,0.538992373695229,0.549569068169313,0.557490867556565,0.55812758474625
"Afghanistan","Croatia",0,0,0,0,0,0,0,0,0.558734737122867,0.55233465654056,0.563868172143409,0.571661980026447,0.572037657153925
"Afghanistan","Cuba",0.610643136016719,0.610642659659159,0.601471308836045,0.59646343590836,0.595367629171935,0.589108405585857,0.567034227489813,0.548766382210625,0.539100637303196,0.535256155543447,0.542225658858486,0.544293699225452,0.543697490856101
"Afghanistan","Cyprus",0.608474799617248,0.609703945101031,0.610909238036018,0.601755289160259,0.59865254867879,0.586871758263546,0.570584834662806,0.553619123797953,0.544968872808801,0.53891740384541,0.54810466061626,0.555079630681619,0.554318165048868
"Afghanistan","Czechia",0,0,0,0,0,0,0,0,0.568122616005385,0.56660719769761,0.576871124420676,0.58834065868674,0.587300458799517
"Afghanistan","Czechoslovakia",0.649537403541633,0.649017995279856,0.644040911472863,0.638909851254094,0.640707169175614,0.627426305151366,0.605239485549219,0.581008590038599,0,0,0,0,0
"Afghanistan","DemocraticPeople'sRepublicofKorea",0.60375670735841,0.598653925582052,0.596324023555951,0.5933311098515,0.59004151280936,0.581777939899152,0.56187951105661,0.545410708451098,0.5362568147815,0.532620018326478,0.538244900975229,0.532992300900081,0.522662672272966
"Afghanistan","Denmark",0.632926216863967,0.630001436398991,0.628936882313215,0.623340291738084,0.625607741375659,0.617407256588443,0.599025594535206,0.57752571617851,0.568458550644843,0.567186519050557,0.575959015935721,0.585863044900174,0.58801894289567
"Afghanistan","Djibouti",0.508353791508967,0.511867175493759,0.513733665328853,0.51128999985968,0.530616656810031,0.535413487261897,0.514163478430719,0.499424526177935,0.488884684213594,0.4802748460878,0.489885022136172,0.507432288293115,0.506067882299894
